configuration,feature,shap_importance
RF_Baseline,V17,0.019225350995032912
RF_Baseline,V14,0.01498893187530804
RF_Baseline,V12,0.012597487912467863
RF_Baseline,V10,0.007483496553847629
RF_Baseline,V16,0.00576613480821258
RF_Baseline,V11,0.003764185275205854
RF_Baseline,V4,0.002581890331445446
RF_Baseline,V9,0.002266155369091158
RF_Baseline,V7,0.0016059433097061185
RF_Baseline,V26,0.0014187914467217902
RF_SMOTE_Tomek,V14,0.09056221324248134
RF_SMOTE_Tomek,V4,0.08498735127701149
RF_SMOTE_Tomek,V12,0.07852442476819158
RF_SMOTE_Tomek,V10,0.050286775741634496
RF_SMOTE_Tomek,V3,0.043919614539195344
RF_SMOTE_Tomek,V17,0.04030806111309752
RF_SMOTE_Tomek,V11,0.03541376522078126
RF_SMOTE_Tomek,V16,0.022140871590102605
RF_SMOTE_Tomek,V2,0.01238576597187702
RF_SMOTE_Tomek,V1,0.011039276954095168
